# Template labels
# Keyword=IndivLabels (Please DO NOT change this line)
# ID, name, file
0, T1-weighted template, PAM50_t1.nii.gz
1, T2-weighted template, PAM50_t2.nii.gz
2, T2S-weighted template, PAM50_t2s.nii.gz
3, spinal cord, PAM50_cord.nii.gz
4, white matter, PAM50_wm.nii.gz
5, gray matter, PAM50_gm.nii.gz
6, cerebrospinal fluid, PAM50_csf.nii.gz
7, vertebral labeling, PAM50_levels.nii.gz
8, continuous vertebral labeling, PAM50_levels_continuous.nii.gz
9, vertebral body labeling, PAM50_label_body.nii.gz
10, intervertebral discs labeling, PAM50_label_disc.nii.gz
11, intervertebral discs labeling posterior, PAM50_label_discPosterior.nii.gz
12, spine, PAM50_spine.nii.gz
13, centerline, PAM50_centerline.nii.gz

